C Data Columns are: time,Chan 101,time,Chan 102,time,Chan 103
C Channel Labels: secs,volts,secs,volts,secs,volts
C Channel conv factors: 1,1,1,1,1,1
110.502,1.57088,110.511,1.71884,110.519,1.4056
111.002,1.57223,111.01,1.72639,111.018,1.41622
111.502,1.57202,111.51,1.73394,111.518,1.42676
112.002,1.57423,112.01,1.74142,112.018,1.43795
112.502,1.57451,112.51,1.74926,112.519,1.44906
113.002,1.57594,113.01,1.75702,113.018,1.45889
113.502,1.57658,113.51,1.76465,113.518,1.47029
114.002,1.57772,114.01,1.77255,114.018,1.48062
114.502,1.57871,114.51,1.78011,114.518,1.49116
115.002,1.58021,115.01,1.78766,115.018,1.50206
115.502,1.58028,115.51,1.79542,115.518,1.51317
116.002,1.58171,116.01,1.80304,116.018,1.52407
116.502,1.58277,116.51,1.81102,116.518,1.53412
117.002,1.58356,117.01,1.81872,117.018,1.54188
117.502,1.58413,117.51,1.82627,117.518,1.55649
118.002,1.58541,118.01,1.83396,118.018,1.56667
118.502,1.58605,118.51,1.84173,118.518,1.57864
119.002,1.58733,119.01,1.84921,119.018,1.58741
119.502,1.58769,119.51,1.85683,119.518,1.5998
120.002,1.58883,120.01,1.86481,120.018,1.60963
120.502,1.58976,120.511,1.8725,120.519,1.62203
121.002,1.5904,121.01,1.87998,121.018,1.63264
121.502,1.59061,121.51,1.88789,121.518,1.6434
122.002,1.59175,122.01,1.89544,122.018,1.65458
122.502,1.59282,122.51,1.90299,122.518,1.66548
123.002,1.59367,123.01,1.9109,123.018,1.67766
123.502,1.59396,123.51,1.91859,123.518,1.68799
124.002,1.59517,124.01,1.92614,124.018,1.70032
124.502,1.59567,124.51,1.93412,124.518,1.71122
125.002,1.59667,125.01,1.94182,125.018,1.72276
125.502,1.59645,125.51,1.94937,125.518,1.73394
126.002,1.59795,126.01,1.95706,126.018,1.74477
126.502,1.59859,126.51,1.96468,126.518,1.75567
127.002,1.59909,127.01,1.97238,127.018,1.76807
127.502,1.59944,127.51,1.98029,127.518,1.7784
128.002,1.60044,128.01,1.98798,128.018,1.78951
128.502,1.60094,128.51,1.99582,128.518,1.80091
129.002,1.60229,129.01,2.00337,129.018,1.81216
129.502,1.60151,129.51,2.01078,129.518,1.82335
130.002,1.60286,130.01,2.0184,130.018,1.83353
130.502,1.604,130.51,2.02638,130.518,1.84479
131.002,1.60436,131.01,2.034,131.018,1.85548
131.502,1.60422,131.51,2.04191,131.518,1.8678
132.002,1.60521,132.01,2.0496,132.018,1.87863
132.502,1.60557,132.51,2.05722,132.518,1.89003
133.002,1.60685,133.01,2.06463,133.018,1.90021
133.502,1.60635,133.51,2.07254,133.518,1.9119
134.002,1.60714,134.01,2.08023,134.018,1.92244
134.502,1.60835,134.51,2.08814,134.518,1.93334
135.002,1.60871,135.01,2.09569,135.018,1.94431
135.502,1.60863,135.51,2.10339,135.518,1.95756
136.002,1.60956,136.01,2.11094,136.018,1.96825
136.502,1.60956,136.511,2.1187,136.519,1.97979
137.002,1.61077,137.01,2.12632,137.018,1.99133
137.502,1.61077,137.51,2.13423,137.518,2.00251
138.002,1.61141,138.01,2.14185,138.018,2.01362
138.502,1.61191,138.51,2.14976,138.518,2.02595
139.002,1.61269,139.01,2.15753,139.018,2.03806
139.502,1.61234,139.51,2.16486,139.518,2.0491
140.002,1.61362,140.01,2.17234,140.018,2.06192
140.502,1.61334,140.51,2.18032,140.518,2.07368
141.002,1.61383,141.01,2.18802,141.018,2.08501
141.502,1.61383,141.51,2.19564,141.518,2.09605
142.002,1.61497,142.01,2.20362,142.018,2.10851
142.502,1.61512,142.51,2.21131,142.518,2.11941
143.002,1.61562,143.01,2.21872,143.018,2.13152
143.502,1.61497,143.51,2.22656,143.518,2.14264
144.002,1.61668,144.01,2.23418,144.018,2.15503
144.502,1.61661,144.51,2.24173,144.518,2.16679
145.002,1.6169,145.01,2.24964,145.018,2.17819
